kode_prov,kode_kab,kode_kec,kode_desa,kode_sls,kode_subsls,id_rt,id_art,r420a,r420b,r421,r421_desk,r422,r423,r424,r425,r426,r421_kode
14,1,10,5,1,0,26,2,1.0,1.0,12,WARUNG KELONTONG,0.0,2.0,11,1.0,1.0,12.0
14,1,10,5,1,0,40,2,1.0,1.0,14,JUAL POP ICE,0.0,0.0,11,1.0,1.0,14.0
14,1,10,5,1,0,38,1,1.0,1.0,12,TOKO ALAT BANGUNAN,4.0,1.0,11,2.0,1.0,12.0
14,1,10,5,1,0,53,3,1.0,1.0,14,JUAL POP ICE,0.0,0.0,11,1.0,1.0,14.0
14,1,10,5,1,0,43,2,1.0,1.0,14,WARUNG NASI,0.0,2.0,11,2.0,1.0,14.0
14,1,10,5,1,0,45,2,1.0,1.0,12,WARUNG KELONTONG,0.0,2.0,11,1.0,1.0,12.0
14,1,10,5,1,0,60,1,1.0,1.0,08,BUAT KURSI DAN MEJA,0.0,0.0,11,2.0,1.0,8.0
14,1,10,5,1,0,88,2,1.0,1.0,12,WARUNG KELONTONG,0.0,3.0,11,1.0,1.0,12.0
14,1,10,5,1,0,284,1,1.0,1.0,03,PETANI SAWIT SENDIRI,8.0,1.0,11,3.0,1.0,3.0
14,1,10,5,1,0,12,2,1.0,1.0,23,JUALAN IKAN HIAS,0.0,0.0,11,1.0,1.0,23.0
14,1,10,5,1,0,98,1,1.0,1.0,12,WARUNG KELONTONG,0.0,2.0,11,1.0,1.0,12.0
14,1,10,5,1,0,146,1,1.0,1.0,03,PETANI SAWIT,1.0,1.0,11,2.0,11.0,3.0
14,1,10,5,1,0,294,1,1.0,1.0,18,MENJAHIT PAKAIAN,0.0,1.0,11,1.0,1.0,18.0
14,1,10,5,1,0,299,1,1.0,1.0,03,USAHA SAWIT MILIK SENDIRI,4.0,2.0,11,1.0,1.0,3.0
14,1,10,5,1,0,90,2,1.0,1.0,12,JUAL BAJU (PAKAIAN JADI),0.0,2.0,11,2.0,16.0,12.0
14,1,10,5,1,0,93,2,1.0,1.0,12,PEDAGANG BARANG HARIAN,0.0,2.0,11,2.0,1.0,12.0
14,1,10,5,1,0,418,2,1.0,1.0,14,PEDAGANG POP ICE,0.0,2.0,11,1.0,1.0,14.0
14,1,10,5,1,0,134,1,1.0,1.0,14,JUAL BAKSO,0.0,1.0,11,1.0,1.0,14.0
14,1,10,5,1,0,288,1,1.0,1.0,03,KEBUN SAWIT,5.0,1.0,11,3.0,11.0,3.0
14,1,10,5,2,0,44,3,1.0,1.0,14,BERDAGANG POP ICE,0.0,0.0,11,2.0,4.0,14.0
14,1,10,5,1,0,417,2,1.0,1.0,12,PEDAGANG KELONTONG,0.0,2.0,11,1.0,1.0,12.0
14,1,10,5,1,0,430,2,1.0,1.0,14,JUAL MINUMAN POP ICE,0.0,2.0,11,1.0,1.0,14.0
14,1,10,5,2,0,61,3,1.0,1.0,08,JUALAN KUE DAN GORENGAN,0.0,0.0,11,1.0,4.0,8.0
14,1,10,5,1,0,297,1,1.0,1.0,03,KEBUN SAWIT SENDIRI,3.0,1.0,11,1.0,1.0,3.0
14,1,10,5,1,0,298,1,1.0,1.0,03,KEBUN SAWIT MILIK SENDIRI,4.0,0.0,11,1.0,1.0,3.0
14,1,10,5,1,0,316,2,1.0,1.0,03,PETANI SAWIT SENDIRI,0.0,0.0,11,1.0,1.0,3.0
14,1,10,5,1,0,325,1,1.0,1.0,03,PETANI KEBUN SAWIT SENDIRI,3.0,0.0,11,2.0,1.0,3.0
14,1,10,5,1,0,324,1,1.0,1.0,12,PENJUAL MINYAK,0.0,2.0,11,2.0,1.0,12.0
14,1,10,5,2,0,35,2,1.0,1.0,14,BERDAGANG MINUM POP ICE,0.0,1.0,11,2.0,4.0,14.0
14,1,10,5,2,0,51,3,1.0,1.0,14,BERDAGANG,0.0,2.0,11,1.0,4.0,14.0
14,1,10,5,1,0,308,2,1.0,1.0,14,KEDAI NASI,1.0,2.0,11,1.0,1.0,14.0
14,1,10,5,1,0,166,1,1.0,1.0,03,PETANI SAWIT SENDIRI,2.0,2.0,11,2.0,1.0,3.0
14,1,10,5,1,0,145,2,1.0,1.0,12,WARUNG KELONTONG,0.0,0.0,11,1.0,1.0,12.0
14,1,10,5,1,0,170,1,1.0,1.0,12,JUAL KAYU PAGAR,2.0,0.0,11,2.0,1.0,12.0
14,1,10,5,1,0,169,1,1.0,1.0,12,USAHA KAYU PAPAN,2.0,1.0,11,1.0,1.0,12.0
